date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:01	62/62	---M--	200	added ('OK')	text/plain	etag:%2267c8dc5a-3e%22	https://nathanserror.com/robots.txt		(from )
19:51:01	74998/74998	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-124f6%22	https://nathanserror.com/	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/index.html	(from )
19:51:01	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://nathanserror.com/)
19:51:01	46703/46703	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-b66f%22	https://nathanserror.com/portfolio/icon-portfolio.png	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/portfolio/icon-portfolio.png	(from https://nathanserror.com/)
19:51:02	3062/3062	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-bf6%22	https://nathanserror.com/icofont/icofont.min.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/icofont/icofont.min.css	(from https://nathanserror.com/)
19:51:02	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-705d%22	https://nathanserror.com/assets/vendor/aos/aos.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/assets/vendor/aos/aos.css	(from https://nathanserror.com/)
19:51:02	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-38dd2%22	https://nathanserror.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://nathanserror.com/)
19:51:02	93734/93734	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-16e26%22	https://nathanserror.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://nathanserror.com/)
19:51:03	68028/68028	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-109bc%22	https://nathanserror.com/assets/vendor/boxicons/css/boxicons.min.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://nathanserror.com/)
19:51:03	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-35b5%22	https://nathanserror.com/assets/vendor/glightbox/css/glightbox.min.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://nathanserror.com/)
19:51:03	16238/16238	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-3f6e%22	https://nathanserror.com/assets/vendor/swiper/swiper-bundle.min.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://nathanserror.com/)
19:51:03	29957/29957	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-7505%22	https://nathanserror.com/portfolio/css/portfolio.css	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/portfolio/css/portfolio.css	(from https://nathanserror.com/)
19:51:03	5232/5232	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-1470%22	https://nathanserror.com/portfolio/js/main.js	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/portfolio/js/main.js	(from https://nathanserror.com/)
19:51:04	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://nathanserror.com/)
19:51:04	165/165	---M--	200	added ('OK')	application/javascript	etag:%2267c8dc5a-a5%22	https://nathanserror.com/portfolio/js/flip-box.js	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/portfolio/js/flip-box.js	(from https://nathanserror.com/)
19:51:04	2822/2822	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-b06%22	https://nathanserror.com/particles.js-master/app.js	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/particles.js-master/app.js	(from https://nathanserror.com/)
19:51:04	693/693	---M-Z	200	added ('OK')	application/json	etag:W/%2267c8dc5a-2b5%22	https://nathanserror.com/particles.js-master/package.json	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/particles.js-master/package.json	(from https://nathanserror.com/)
19:51:05	43009/43009	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-a801%22	https://nathanserror.com/particles.js-master/particles.js	C:/Travail/site%20web%20projet%20dev/porfololio%20v2/nathanserror.com/particles.js-master/particles.js	(from https://nathanserror.com/)
